Year,Value,Units
2010,2828.4,"million usd, constant prices (2024)"
2011,2537.8,"million usd, constant prices (2024)"
2012,2072.1,"million usd, constant prices (2024)"
2013,2653.9,"million usd, constant prices (2024)"
2014,3066.7,"million usd, constant prices (2024)"
2015,4086.4,"million usd, constant prices (2024)"
2016,4146.5,"million usd, constant prices (2024)"
2017,3730.7,"million usd, constant prices (2024)"
2018,4275.3,"million usd, constant prices (2024)"
2019,4385.9,"million usd, constant prices (2024)"
2020,4321.1,"million usd, constant prices (2024)"
2021,3474.5,"million usd, constant prices (2024)"
2022,4227.1,"million usd, constant prices (2024)"
2023,4123.2,"million usd, constant prices (2024)"
2024,5115.2,"million usd, constant prices (2024)"
2010,1843.7,million eur
2011,1674.7,million eur
2012,1387.0,million eur
2013,1811.9,million eur
2014,2133.4,million eur
2015,2892.3,million eur
2016,2971.9,million eur
2017,2713.2,million eur
2018,3167.5,million eur
2019,3314.9,million eur
2020,3323.1,million eur
2021,2744.0,million eur
2022,3552.7,million eur
2023,3697.4,million eur
2024,4729.5,million eur
