Year,Units,Value
2010,a) passenger transport (mn pkm),1117240
2011,a) passenger transport (mn pkm),1131004
2012,a) passenger transport (mn pkm),1135558
2013,a) passenger transport (mn pkm),1144212
2014,a) passenger transport (mn pkm),1162858
2015,a) passenger transport (mn pkm),1180505
2016,a) passenger transport (mn pkm),1204690
2010,b) freight transport (mn tkm),627857
2011,b) freight transport (mn tkm),627966
2012,b) freight transport (mn tkm),618911
2013,b) freight transport (mn tkm),636011
2014,b) freight transport (mn tkm),643567
2015,b) freight transport (mn tkm),651928
2016,b) freight transport (mn tkm),666923
