Year,Tourism Industries,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,Accommodation for visitors: hotels and similar establishments,.,,,time series of the indicator: employed persons,
2011,Accommodation for visitors: hotels and similar establishments,.,,,time series of the indicator: employed persons,
2012,Accommodation for visitors: hotels and similar establishments,.,,,time series of the indicator: employed persons,
2013,Accommodation for visitors: hotels and similar establishments,.,,,time series of the indicator: employed persons,
2014,Accommodation for visitors: hotels and similar establishments,.,,,time series of the indicator: employed persons,
2015,Accommodation for visitors: hotels and similar establishments,.,,,time series of the indicator: employed persons,
2016,Accommodation for visitors: hotels and similar establishments,.,,,time series of the indicator: employed persons,
2017,Accommodation for visitors: hotels and similar establishments,.,,,time series of the indicator: employed persons,
2018,Accommodation for visitors: hotels and similar establishments,.,,,time series of the indicator: employed persons,
2019,Accommodation for visitors: hotels and similar establishments,.,,,time series of the indicator: employed persons,
2020,Accommodation for visitors: hotels and similar establishments,,,,time series of the indicator: employed persons,433154.0
2021,Accommodation for visitors: hotels and similar establishments,,,,time series of the indicator: employed persons,458101.0
2022,Accommodation for visitors: hotels and similar establishments,,,,time series of the indicator: employed persons,493938.0
2023,Accommodation for visitors: hotels and similar establishments,,,,time series of the indicator: employed persons,498001.0
2010,Accommodation for visitors: other,.,,,time series of the indicator: employed persons,
2011,Accommodation for visitors: other,.,,,time series of the indicator: employed persons,
2012,Accommodation for visitors: other,.,,,time series of the indicator: employed persons,
2013,Accommodation for visitors: other,.,,,time series of the indicator: employed persons,
2014,Accommodation for visitors: other,.,,,time series of the indicator: employed persons,
2015,Accommodation for visitors: other,.,,,time series of the indicator: employed persons,
2016,Accommodation for visitors: other,.,,,time series of the indicator: employed persons,
2017,Accommodation for visitors: other,.,,,time series of the indicator: employed persons,
2018,Accommodation for visitors: other,.,,,time series of the indicator: employed persons,
2019,Accommodation for visitors: other,.,,,time series of the indicator: employed persons,
2020,Accommodation for visitors: other,,,,time series of the indicator: employed persons,521462.0
2021,Accommodation for visitors: other,,,,time series of the indicator: employed persons,691160.0
2022,Accommodation for visitors: other,,,,time series of the indicator: employed persons,667494.0
2023,Accommodation for visitors: other,,,,time series of the indicator: employed persons,664668.0
2010,Food and beverage serving activities,.,,,time series of the indicator: employed persons,
2011,Food and beverage serving activities,.,,,time series of the indicator: employed persons,
2012,Food and beverage serving activities,.,,,time series of the indicator: employed persons,
2013,Food and beverage serving activities,.,,,time series of the indicator: employed persons,
2014,Food and beverage serving activities,.,,,time series of the indicator: employed persons,
2015,Food and beverage serving activities,.,,,time series of the indicator: employed persons,
2016,Food and beverage serving activities,.,,,time series of the indicator: employed persons,
2017,Food and beverage serving activities,.,,,time series of the indicator: employed persons,
2018,Food and beverage serving activities,.,,,time series of the indicator: employed persons,
2019,Food and beverage serving activities,.,,,time series of the indicator: employed persons,
2020,Food and beverage serving activities,,,,time series of the indicator: employed persons,1336699.0
2021,Food and beverage serving activities,,,,time series of the indicator: employed persons,1457238.0
2022,Food and beverage serving activities,,,,time series of the indicator: employed persons,1514878.0
2023,Food and beverage serving activities,,,,time series of the indicator: employed persons,1541245.0
2022,Railway passenger transport,,,,time series of the indicator: employed persons,25222.0
2023,Railway passenger transport,,,,time series of the indicator: employed persons,25745.0
2022,Road passenger transport,,,,time series of the indicator: employed persons,194485.0
2023,Road passenger transport,,,,time series of the indicator: employed persons,205032.0
2010,Water passenger transport,.,,,time series of the indicator: employed persons,
2011,Water passenger transport,.,,,time series of the indicator: employed persons,
2012,Water passenger transport,.,,,time series of the indicator: employed persons,
2013,Water passenger transport,.,,,time series of the indicator: employed persons,
2014,Water passenger transport,.,,,time series of the indicator: employed persons,
2015,Water passenger transport,.,,,time series of the indicator: employed persons,
2016,Water passenger transport,.,,,time series of the indicator: employed persons,
2017,Water passenger transport,.,,,time series of the indicator: employed persons,
2018,Water passenger transport,.,,,time series of the indicator: employed persons,
2019,Water passenger transport,.,,,time series of the indicator: employed persons,
2020,Water passenger transport,,,,time series of the indicator: employed persons,8614.0
2021,Water passenger transport,,,,time series of the indicator: employed persons,8756.0
2022,Water passenger transport,,,,time series of the indicator: employed persons,9206.0
2023,Water passenger transport,,,,time series of the indicator: employed persons,8967.0
2010,Air passenger transport,.,,,time series of the indicator: employed persons,
2011,Air passenger transport,.,,,time series of the indicator: employed persons,
2012,Air passenger transport,.,,,time series of the indicator: employed persons,
2013,Air passenger transport,.,,,time series of the indicator: employed persons,
2014,Air passenger transport,.,,,time series of the indicator: employed persons,
2015,Air passenger transport,.,,,time series of the indicator: employed persons,
2016,Air passenger transport,.,,,time series of the indicator: employed persons,
2017,Air passenger transport,.,,,time series of the indicator: employed persons,
2018,Air passenger transport,.,,,time series of the indicator: employed persons,
2019,Air passenger transport,.,,,time series of the indicator: employed persons,
2020,Air passenger transport,,,,time series of the indicator: employed persons,58297.0
2021,Air passenger transport,,,,time series of the indicator: employed persons,54734.0
2022,Air passenger transport,,,,time series of the indicator: employed persons,52686.0
2023,Air passenger transport,,,,time series of the indicator: employed persons,57060.0
2010,Transport equipment rental,.,,,time series of the indicator: employed persons,
2011,Transport equipment rental,.,,,time series of the indicator: employed persons,
2012,Transport equipment rental,.,,,time series of the indicator: employed persons,
2013,Transport equipment rental,.,,,time series of the indicator: employed persons,
2014,Transport equipment rental,.,,,time series of the indicator: employed persons,
2015,Transport equipment rental,.,,,time series of the indicator: employed persons,
2016,Transport equipment rental,.,,,time series of the indicator: employed persons,
2017,Transport equipment rental,.,,,time series of the indicator: employed persons,
2018,Transport equipment rental,.,,,time series of the indicator: employed persons,
2019,Transport equipment rental,.,,,time series of the indicator: employed persons,
2020,Transport equipment rental,,,,time series of the indicator: employed persons,34896.0
2021,Transport equipment rental,,,,time series of the indicator: employed persons,41038.0
2022,Transport equipment rental,,,,time series of the indicator: employed persons,45861.0
2023,Transport equipment rental,,,,time series of the indicator: employed persons,43418.0
2010,Travel agencies and other reservation service activities,.,,,time series of the indicator: employed persons,
2011,Travel agencies and other reservation service activities,.,,,time series of the indicator: employed persons,
2012,Travel agencies and other reservation service activities,.,,,time series of the indicator: employed persons,
2013,Travel agencies and other reservation service activities,.,,,time series of the indicator: employed persons,
2014,Travel agencies and other reservation service activities,.,,,time series of the indicator: employed persons,
2015,Travel agencies and other reservation service activities,.,,,time series of the indicator: employed persons,
2016,Travel agencies and other reservation service activities,.,,,time series of the indicator: employed persons,
2017,Travel agencies and other reservation service activities,.,,,time series of the indicator: employed persons,
2018,Travel agencies and other reservation service activities,.,,,time series of the indicator: employed persons,
2019,Travel agencies and other reservation service activities,.,,,time series of the indicator: employed persons,
2020,Travel agencies and other reservation service activities,,,,time series of the indicator: employed persons,81779.0
2021,Travel agencies and other reservation service activities,,,,time series of the indicator: employed persons,79189.0
2022,Travel agencies and other reservation service activities,,,,time series of the indicator: employed persons,88512.0
2023,Travel agencies and other reservation service activities,,,,time series of the indicator: employed persons,84618.0
2021,Cultural activities,,,,time series of the indicator: employed persons,93922.0
2022,Cultural activities,,,,time series of the indicator: employed persons,104048.0
2023,Cultural activities,,,,time series of the indicator: employed persons,109369.0
2021,Sports and Recreational activities,,,,time series of the indicator: employed persons,306401.0
2022,Sports and Recreational activities,,,,time series of the indicator: employed persons,320884.0
2023,Sports and Recreational activities,,,,time series of the indicator: employed persons,312225.0
2010,Accommodation for visitors: hotels and similar establishments,.,,,additional time series: employees,
2011,Accommodation for visitors: hotels and similar establishments,.,,,additional time series: employees,
2012,Accommodation for visitors: hotels and similar establishments,.,,,additional time series: employees,
2013,Accommodation for visitors: hotels and similar establishments,.,,,additional time series: employees,
2014,Accommodation for visitors: hotels and similar establishments,.,,,additional time series: employees,
2015,Accommodation for visitors: hotels and similar establishments,.,,,additional time series: employees,
2016,Accommodation for visitors: hotels and similar establishments,.,,,additional time series: employees,
2017,Accommodation for visitors: hotels and similar establishments,.,,,additional time series: employees,
2018,Accommodation for visitors: hotels and similar establishments,.,,,additional time series: employees,
2019,Accommodation for visitors: hotels and similar establishments,.,,,additional time series: employees,
2020,Accommodation for visitors: hotels and similar establishments,,,,additional time series: employees,387316.0
2021,Accommodation for visitors: hotels and similar establishments,,,,additional time series: employees,412861.0
2022,Accommodation for visitors: hotels and similar establishments,,,,additional time series: employees,447744.0
2023,Accommodation for visitors: hotels and similar establishments,,,,additional time series: employees,451432.0
2010,Accommodation for visitors: other,.,,,additional time series: employees,
2011,Accommodation for visitors: other,.,,,additional time series: employees,
2012,Accommodation for visitors: other,.,,,additional time series: employees,
2013,Accommodation for visitors: other,.,,,additional time series: employees,
2014,Accommodation for visitors: other,.,,,additional time series: employees,
2015,Accommodation for visitors: other,.,,,additional time series: employees,
2016,Accommodation for visitors: other,.,,,additional time series: employees,
2017,Accommodation for visitors: other,.,,,additional time series: employees,
2018,Accommodation for visitors: other,.,,,additional time series: employees,
2019,Accommodation for visitors: other,.,,,additional time series: employees,
2020,Accommodation for visitors: other,,,,additional time series: employees,333052.0
2021,Accommodation for visitors: other,,,,additional time series: employees,474192.0
2022,Accommodation for visitors: other,,,,additional time series: employees,474307.0
2023,Accommodation for visitors: other,,,,additional time series: employees,471128.0
2010,Food and beverage serving activities,.,,,additional time series: employees,
2011,Food and beverage serving activities,.,,,additional time series: employees,
2012,Food and beverage serving activities,.,,,additional time series: employees,
2013,Food and beverage serving activities,.,,,additional time series: employees,
2014,Food and beverage serving activities,.,,,additional time series: employees,
2015,Food and beverage serving activities,.,,,additional time series: employees,
2016,Food and beverage serving activities,.,,,additional time series: employees,
2017,Food and beverage serving activities,.,,,additional time series: employees,
2018,Food and beverage serving activities,.,,,additional time series: employees,
2019,Food and beverage serving activities,.,,,additional time series: employees,
2020,Food and beverage serving activities,,,,additional time series: employees,1147866.0
2021,Food and beverage serving activities,,,,additional time series: employees,1281136.0
2022,Food and beverage serving activities,,,,additional time series: employees,1338977.0
2023,Food and beverage serving activities,,,,additional time series: employees,1363796.0
2022,Railway passenger transport,,,,additional time series: employees,25202.0
2023,Railway passenger transport,,,,additional time series: employees,25719.0
2010,Road passenger transport,.,,,additional time series: employees,
2011,Road passenger transport,.,,,additional time series: employees,
2012,Road passenger transport,.,,,additional time series: employees,
2013,Road passenger transport,.,,,additional time series: employees,
2014,Road passenger transport,.,,,additional time series: employees,
2015,Road passenger transport,.,,,additional time series: employees,
2016,Road passenger transport,.,,,additional time series: employees,
2017,Road passenger transport,.,,,additional time series: employees,
2018,Road passenger transport,.,,,additional time series: employees,
2019,Road passenger transport,.,,,additional time series: employees,
2020,Road passenger transport,,,,additional time series: employees,141037.0
2021,Road passenger transport,,,,additional time series: employees,164689.0
2022,Road passenger transport,,,,additional time series: employees,171881.0
2023,Road passenger transport,,,,additional time series: employees,182026.0
2010,Water passenger transport,.,,,additional time series: employees,
2011,Water passenger transport,.,,,additional time series: employees,
2012,Water passenger transport,.,,,additional time series: employees,
2013,Water passenger transport,.,,,additional time series: employees,
2014,Water passenger transport,.,,,additional time series: employees,
2015,Water passenger transport,.,,,additional time series: employees,
2016,Water passenger transport,.,,,additional time series: employees,
2017,Water passenger transport,.,,,additional time series: employees,
2018,Water passenger transport,.,,,additional time series: employees,
2019,Water passenger transport,.,,,additional time series: employees,
2020,Water passenger transport,,,,additional time series: employees,8137.0
2021,Water passenger transport,,,,additional time series: employees,8254.0
2022,Water passenger transport,,,,additional time series: employees,8710.0
2023,Water passenger transport,,,,additional time series: employees,8480.0
2010,Air passenger transport,.,,,additional time series: employees,
2011,Air passenger transport,.,,,additional time series: employees,
2012,Air passenger transport,.,,,additional time series: employees,
2013,Air passenger transport,.,,,additional time series: employees,
2014,Air passenger transport,.,,,additional time series: employees,
2015,Air passenger transport,.,,,additional time series: employees,
2016,Air passenger transport,.,,,additional time series: employees,
2017,Air passenger transport,.,,,additional time series: employees,
2018,Air passenger transport,.,,,additional time series: employees,
2019,Air passenger transport,.,,,additional time series: employees,
2020,Air passenger transport,,,,additional time series: employees,57763.0
2021,Air passenger transport,,,,additional time series: employees,53976.0
2022,Air passenger transport,,,,additional time series: employees,52214.0
2023,Air passenger transport,,,,additional time series: employees,56268.0
2010,Transport equipment rental,.,,,additional time series: employees,
2011,Transport equipment rental,.,,,additional time series: employees,
2012,Transport equipment rental,.,,,additional time series: employees,
2013,Transport equipment rental,.,,,additional time series: employees,
2014,Transport equipment rental,.,,,additional time series: employees,
2015,Transport equipment rental,.,,,additional time series: employees,
2016,Transport equipment rental,.,,,additional time series: employees,
2017,Transport equipment rental,.,,,additional time series: employees,
2018,Transport equipment rental,.,,,additional time series: employees,
2019,Transport equipment rental,.,,,additional time series: employees,
2020,Transport equipment rental,,,,additional time series: employees,30207.0
2021,Transport equipment rental,,,,additional time series: employees,35394.0
2022,Transport equipment rental,,,,additional time series: employees,40890.0
2023,Transport equipment rental,,,,additional time series: employees,38225.0
2010,Travel agencies and other reservation service activities,.,,,additional time series: employees,
2011,Travel agencies and other reservation service activities,.,,,additional time series: employees,
2012,Travel agencies and other reservation service activities,.,,,additional time series: employees,
2013,Travel agencies and other reservation service activities,.,,,additional time series: employees,
2014,Travel agencies and other reservation service activities,.,,,additional time series: employees,
2015,Travel agencies and other reservation service activities,.,,,additional time series: employees,
2016,Travel agencies and other reservation service activities,.,,,additional time series: employees,
2017,Travel agencies and other reservation service activities,.,,,additional time series: employees,
2018,Travel agencies and other reservation service activities,.,,,additional time series: employees,
