Year,Value,Units
2010,1306.0,Million tonnes
2011,1379.0,Million tonnes
2012,1254.0,Million tonnes
2013,1266.0,Million tonnes
2014,1274.0,Million tonnes
2015,1198.0,Million tonnes
2016,1221.0,Million tonnes
2010,16.0,Tonnes per capita
2011,17.2,Tonnes per capita
2012,15.6,Tonnes per capita
2013,15.7,Tonnes per capita
2014,15.7,Tonnes per capita
2015,14.7,Tonnes per capita
2016,14.8,Tonnes per capita
2010,118.3,Per real GDP (2015 = 100)
2011,120.3,Per real GDP (2015 = 100)
2012,108.8,Per real GDP (2015 = 100)
2013,109.4,Per real GDP (2015 = 100)
2014,107.6,Per real GDP (2015 = 100)
2015,100.0,Per real GDP (2015 = 100)
2016,99.7,Per real GDP (2015 = 100)
